CandidateName,OfficeName,ElectionYear,ElectionYearStr,Party,District,Jurisdiction,FinanceType,Status,Incumbent,IDNumber,TreasurerName,CandidateAddress,RegistrationDate,LastFilingDate,PublicPhoneNumber,PoliticalPartyCommitteeName,CandidateStatus,JurisdictionType,OfficerHolderStatus,ElectionName,NumberofCandidates,OfficeId,ElectionId,DistrictId,ElectionCycleId,OfficeType,JurisdictionId,RegistrationId,FinanceStatus,RowNumber,TotalRows,UnregisteredCandidate,StateID,TotalContributions,TotalExpenditures,MemberID,TerminationDate,CandidateEmail,CommitteeEmail,IsCompliant,CompliantStatus,IsLegacy
"Frintz, Cherry Tiffany",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,r1emRHaJDzxRY6F8W091dwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1442,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Glenn, Travis",College Board Member,2021,,Non-Partisan,,,Candidate,,,Gn05QJpj-9ksNZmRnsLupgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Gomez, Manuel Rodriguez, Jr.",College Board Member,2021,,Non-Partisan,,,Candidate,,,hY3HNbQ7BcAjqp_k0mavpACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Grissom, Alissa ",College Board Member,2021,,Non-Partisan,,,Candidate,,,B1slyjxl1mGWzGbK9e_KfgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Hampton, David",College Board Member,2021,,Non-Partisan,,,Candidate,,,uiAaj1ZNoQ-z1c7xtqcYrwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Hanson, David Edward",College Board Member,2021,,Non-Partisan,,,Candidate,,,2Wz_Qxdov2nf8hxetkvt2gCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Hosteen, Roy Lee",College Board Member,2021,,Non-Partisan,,,Candidate,,,SqRTp8UzuHcPp6ZYLkOLaACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"James-Foster, Joy Lynne",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,xF6MNi6eAmwjyoIqcE9vOACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1442,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Johnson, Kerby",College Board Member,2021,,Non-Partisan,,,Candidate,,,JqxINkyhadV0ELig5CbuggCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Kesner, Guy Gregory",College Board Member,2021,,Non-Partisan,,,Candidate,,,EYD7iO8lOmG1_q6K_iD9OwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Luchini, Chris",College Board Member,2021,,Non-Partisan,,,Candidate,,,c6IlmvzTs7KQmOYb4dRorQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Manning, Byron R",College Board Member,2021,,Non-Partisan,,,Candidate,,,JsJHdGjytdq9R5D97oUC2wCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"McCarthy, Frances",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 5,Eddy,Candidate,,,0nuLxZdEYMeJZThQ5jsWPwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1444,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"McCullough, Charles F",College Board Member,2021,,Non-Partisan,,,Candidate,,,ULgFYglWkDYv8qXmwI8hPACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Murphy, Murray Lee",College Board Member,2021,,Non-Partisan,ENMU - RUIDOSO BRANCH CC - DISTRICT 2,Lincoln,Candidate,,,H7OYfZMksnv5ESeL3jSGHQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1427,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Murrill, William Wilson",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 2,Eddy,Candidate,,,iktQYX8epMk1gsT0k4Xz3ACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1441,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Ofelt, Charles N",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 1,Bernalillo,Candidate,,,DFNFg3aIyBnt-d_Ums1DzQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1400,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Ortega, Rosalie S",College Board Member,2021,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 4,Guadalupe,Candidate,,,de7-hKjNYWd3EU6pFoqI5ACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1418,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Portillos, Louise Lorene",College Board Member,2021,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 6,Colfax,Candidate,,,EMw6PWUq9_x7OrrvRhxCwACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1422,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"REMPE, NORBERT T",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 5,Eddy,Candidate,,,4WRFBjhh0ure3IShjnjdDACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1444,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Rising, Evelyn",College Board Member,2021,,Non-Partisan,,,Candidate,,,-zyyXvhXi46kXoPZNkfSIwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Rogers, David Wilson",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,h-6Njx_1OaOjk8ojYF1CegCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1442,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Schoenfelder, Robert P.",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 7,Bernalillo,Candidate,,,6VlHokduhSenf5nNAMeaPgCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1406,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Sidwell, Thomas J",College Board Member,2021,,Non-Partisan,,,Candidate,,,_2fNP3hK6m5gQ3sC4HFbZgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Siegle, Linda Sue",College Board Member,2021,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 1,Santa Fe,Candidate,,,vES5l6IsfeLABguj2eULLACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1431,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Stephenson, Maria Teresa",College Board Member,2021,,Non-Partisan,,,Candidate,,,sdtA0_dJb15_QH3issqQQwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Swisstack, Thomas Edward",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 3,Sandoval,Candidate,,,_pIOKAjmGR9q0iD8n3moMwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1401,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Wayne, Nicole Marie",College Board Member,2021,,Non-Partisan,,,Candidate,,,aKcVf5Ss-wJzAM0Ccay2gwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"WEINLAND, LEE , III",College Board Member,2021,,Non-Partisan,,,Candidate,,,btoaYC2DQH0QEFKTUL6lcgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"WEINLAND, LEE, III",College Board Member,2021,,Non-Partisan,,,Candidate,,,btoaYC2DQH0QEFKTUL6lcgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Wilson, Xubi",College Board Member,2021,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 4,Santa Fe,Candidate,,,vEQ4qVfsRWP96p6IBZ_drACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1434,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Woodring, Laura ",College Board Member,2021,,Non-Partisan,,,Candidate,,,c5KdO8vVbKEtdXI7oPjmPACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2021 - Regular Local Election,,1203,118.0,,,,,0,,,38,0,,0.0,0.0,0,,,,False,,False
"Alden, Robin Alden",College Board Member,2023,,Non-Partisan,,,Candidate,,,A07uyCvjJdvjqgyl6i1r7ACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Atcitty, Pete K, III",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,yrJgIpkNzlUkN8T_jdj7eACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Box, Phillip",College Board Member,2023,,Non-Partisan,,,Candidate,,,P5wFFsl1Q4AbfoXj8lB9IQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Bradburn, Janice Sue",College Board Member,2023,,Non-Partisan,,,Candidate,,,UETSTvTuXbBxA4QV925Z8gCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Chavez y De La Cruz, Annette",College Board Member,2023,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 4,Bernalillo,Candidate,,,I-oeFxRVJ7mMH12e0n1xJACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1403,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Derrick, Leanna Kay",College Board Member,2023,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 2,Bernalillo,Candidate,,,jUVcbjkl2BgaYA_gMM_8cwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1402,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Dominguez, Lorenzo",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 3,Santa Fe,Candidate,,,sUIV9aQQlLNsMawlxX44IgCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1433,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Frintz, Cherry Tiffany",College Board Member,2023,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,r1emRHaJDzxRY6F8W091dwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1442,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Germann, Lina S",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 3,Santa Fe,Candidate,,,CSeaT7fGR60GIlPyEJsLDQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1433,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Glenn, Travis",College Board Member,2023,,Non-Partisan,,,Candidate,,,Gn05QJpj-9ksNZmRnsLupgCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Gomez, Manuel Rodriguez, Jr.",College Board Member,2023,,Non-Partisan,,,Candidate,,,hY3HNbQ7BcAjqp_k0mavpACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Hale, Judy Mae",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,AyZMZ89nGFHdY1CKApkSyQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Hampton, David",College Board Member,2023,,Non-Partisan,,,Candidate,,,uiAaj1ZNoQ-z1c7xtqcYrwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Hanks, Jvanna Lynne, II",College Board Member,2023,,Non-Partisan,,,Candidate,,,DP2CLyLOSXZSXz8jUsI4pACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Henderson, Kristin Marie Coel",College Board Member,2023,,Non-Partisan,,,Candidate,,,EdqMXIHXLkeFs6GtYz_YYACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Hosteen, Roy Lee",College Board Member,2023,,Non-Partisan,,,Candidate,,,SqRTp8UzuHcPp6ZYLkOLaACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Johnson, Kerby",College Board Member,2023,,Non-Partisan,,,Candidate,,,JqxINkyhadV0ELig5CbuggCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Kesner, Guy Gregory",College Board Member,2023,,Non-Partisan,,,Candidate,,,EYD7iO8lOmG1_q6K_iD9OwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Murphy, Murray Lee",College Board Member,2023,,Non-Partisan,ENMU - RUIDOSO BRANCH CC - DISTRICT 2,Lincoln,Candidate,,,H7OYfZMksnv5ESeL3jSGHQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1427,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Pawlak, John",College Board Member,2023,,Non-Partisan,,,Candidate,,,nLT5LU3ekVYilmrH6OyT4ACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Portillos, Louise Lorene",College Board Member,2023,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 6,Colfax,Candidate,,,EMw6PWUq9_x7OrrvRhxCwACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1422,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Primrose, Richard Douglas",College Board Member,2023,,Non-Partisan,,,Candidate,,,nZtothdONY9bZ4dauz86DQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Rising, Evelyn",College Board Member,2023,,Non-Partisan,,,Candidate,,,-zyyXvhXi46kXoPZNkfSIwCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2023 - Regular Local Election,,1203,121.0,,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Rogers, David Wilson",College Board Member,2023,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,h-6Njx_1OaOjk8ojYF1CegCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1442,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Taylor, Beverly",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,0TPyLNdxDWkcxwpJ7av2VwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Thomas-Kemp, Catherine",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,Arti6QJ0-VUMjQxMoifcIACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Todacheene, GloJean B",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,Xl6acZcbweX-ANbTNFjMNACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Tso, Matthew D.",College Board Member,2023,,Non-Partisan,SAN JUAN COLLEGE,San Juan,Candidate,,,ypX3nF-0eNKjwyvFzuXTNQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1464,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Wilson, Xubi",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 4,Santa Fe,Candidate,,,vEQ4qVfsRWP96p6IBZ_drACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1434,,,,0,,,29,0,,0.0,0.0,0,,,,False,,False
"Ofelt, Charles N",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 1,Bernalillo,Candidate,,,DFNFg3aIyBnt-d_Ums1DzQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1400,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Swisstack, Thomas Edward",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 3,Sandoval,Candidate,,,_pIOKAjmGR9q0iD8n3moMwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1401,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Derrick, Leanna Kay",College Board Member,2023,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 2,Bernalillo,Candidate,,,jUVcbjkl2BgaYA_gMM_8cwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1402,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Chavez y De La Cruz, Annette",College Board Member,2023,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 4,Bernalillo,Candidate,,,I-oeFxRVJ7mMH12e0n1xJACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1403,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Baca, Nancy",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 5,Bernalillo,Candidate,,,kIbmw2ov_t-RSYM8wk5hTwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1404,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Schoenfelder, Robert P.",College Board Member,2021,,Non-Partisan,CENTRAL NEW MEXICO CC – DISTRICT 7,Bernalillo,Candidate,,,6VlHokduhSenf5nNAMeaPgCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1406,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Daubert, Rissie Ellen",College Board Member,2021,,Non-Partisan,EASTERN NM-ROSWELL BRANCH CC - DISTRICT 2,Chaves,Candidate,,,LiMbHGUZ9q0CjIbuYbS6DwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1409,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Ortega, Rosalie S",College Board Member,2021,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 4,Guadalupe,Candidate,,,de7-hKjNYWd3EU6pFoqI5ACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1418,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Portillos, Louise Lorene",College Board Member,2021,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 6,Colfax,Candidate,,,EMw6PWUq9_x7OrrvRhxCwACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1422,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Portillos, Louise Lorene",College Board Member,2023,,Non-Partisan,LUNA COMMUNITY COLLEGE – DISTRICT 6,Colfax,Candidate,,,EMw6PWUq9_x7OrrvRhxCwACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1422,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Murphy, Murray Lee",College Board Member,2021,,Non-Partisan,ENMU - RUIDOSO BRANCH CC - DISTRICT 2,Lincoln,Candidate,,,H7OYfZMksnv5ESeL3jSGHQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1427,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Murphy, Murray Lee",College Board Member,2023,,Non-Partisan,ENMU - RUIDOSO BRANCH CC - DISTRICT 2,Lincoln,Candidate,,,H7OYfZMksnv5ESeL3jSGHQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1427,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Siegle, Linda Sue",College Board Member,2021,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 1,Santa Fe,Candidate,,,vES5l6IsfeLABguj2eULLACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1431,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Dominguez, Lorenzo",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 3,Santa Fe,Candidate,,,sUIV9aQQlLNsMawlxX44IgCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1433,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Germann, Lina S",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 3,Santa Fe,Candidate,,,CSeaT7fGR60GIlPyEJsLDQCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1433,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Wilson, Xubi",College Board Member,2021,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 4,Santa Fe,Candidate,,,vEQ4qVfsRWP96p6IBZ_drACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1434,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Wilson, Xubi",College Board Member,2023,,Non-Partisan,SANTA FE COMMUNITY COLLEGE – DISTRICT 4,Santa Fe,Candidate,,,vEQ4qVfsRWP96p6IBZ_drACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2023 - Regular Local Election,,1203,121.0,1434,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Cage, Mark",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 1,Eddy,Candidate,,,FB6Xmb4RbY_mS8js5DdyEwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1440,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"CARLETON, DORIS BRUTON",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 1,Eddy,Candidate,,,OKMAhRMWVBVQVXFo0F8gsgCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1440,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Murrill, William Wilson",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 2,Eddy,Candidate,,,iktQYX8epMk1gsT0k4Xz3ACqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1441,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Frintz, Cherry Tiffany",College Board Member,2021,,Non-Partisan,Southeast New Mexico College - District 3,Eddy,Candidate,,,r1emRHaJDzxRY6F8W091dwCqVy8Elhffgng_L-1Fpe41,,,,,,,,COLLEGE BOARD,,2021 - Regular Local Election,,1203,118.0,1442,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
